iter	Passed	Remaining
917	14615	1305
918	14626	1289
919	14639	1272
920	14649	1256
921	14659	1240
922	14669	1223
923	14678	1207
924	14690	1191
925	14701	1174
926	14713	1158
927	14724	1142
928	14734	1126
929	14750	1110
930	14762	1094
931	14773	1077
932	14783	1061
933	14794	1045
934	14803	1029
935	14813	1012
936	14822	996
937	14832	980
938	14841	964
939	14851	947
940	14863	931
941	14873	915
942	14884	899
943	14893	883
944	14903	867
945	14913	851
946	14923	835
947	14934	819
948	14944	803
949	14953	787
950	14964	771
951	14975	755
952	14987	739
953	15004	723
954	15015	707
955	15025	691
956	15036	675
957	15046	659
958	15056	643
959	15068	627
960	15077	611
961	15086	595
962	15097	580
963	15108	564
964	15120	548
965	15129	532
966	15138	516
967	15149	500
968	15162	485
969	15175	469
970	15184	453
971	15194	437
972	15206	421
973	15216	406
974	15227	390
975	15237	374
976	15246	358
977	15255	343
978	15265	327
979	15275	311
980	15284	296
981	15293	280
982	15303	264
983	15312	248
984	15320	233
985	15330	217
986	15338	202
987	15348	186
988	15358	170
989	15368	155
990	15378	139
991	15389	124
992	15398	108
993	15407	93
994	15417	77
995	15426	61
996	15438	46
997	15449	30
998	15459	15
999	15471	0
